ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,DIF,DEA,MACD_HIST,BOLL_UPPER,BOLL_MID,BOLL_LOWER,K,D,J
600900.SH,2025-07-02,30.4,30.48,30.22,30.25,30.37,-0.12,-0.3951,571834.95,1734049.631,,0.0,0.0,0.0,,,,50.0,50.0,50.0
600900.SH,2025-07-03,30.26,30.28,29.85,30.09,30.25,-0.16,-0.5289,936811.23,2811204.131,,-0.012763532763532481,-0.0025527065527064965,-0.02042165242165197,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-04,30.06,30.29,30.01,30.16,30.09,0.07,0.2326,679228.05,2048728.031,,-0.017033952646485773,-0.0054489557714623525,-0.02316999375004684,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-07,30.24,30.28,30.07,30.26,30.16,0.1,0.3316,508278.48,1534745.747,,-0.012208396114370856,-0.006800843840044054,-0.010815104548653604,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-08,30.27,30.27,29.91,29.92,30.26,-0.34,-1.1236,1073286.01,3219638.664,,-0.0354110695309231,-0.012522888978219866,-0.04577636110540647,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-09,29.95,30.1,29.85,29.98,29.92,0.06,0.2005,670383.21,2011578.386,,-0.048399932526450584,-0.01969829768786601,-0.05740326967716915,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-10,30.0,30.08,29.8,29.9,29.98,-0.08,-0.2668,947643.05,2835522.287,,-0.06440659233745549,-0.02863995661778391,-0.07153327143934317,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-11,29.92,30.59,29.87,30.4,29.9,0.5,1.6722,1642154.79,4984368.453,,-0.036327404527412455,-0.03017744619970962,-0.012299916655405668,,,,49.99999999999999,49.99999999999999,49.999999999999986
600900.SH,2025-07-14,30.42,30.79,30.4,30.61,30.4,0.21,0.6908,771547.17,2363137.312,,0.0028380834095393936,-0.02357434027785982,0.05282484737479843,,,,60.6060606060606,53.53535353535353,74.74747474747475
600900.SH,2025-07-15,30.61,30.68,30.35,30.48,30.61,-0.13,-0.4247,562461.57,1714077.283,,0.02312058155490604,-0.01423535591130665,0.07471187493242537,,,,63.29966329966332,56.79012345679012,76.31874298540971
