ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ret_factor,adj_close
002714.SZ,2014-01-28,28.88,34.66,28.88,34.66,24.07,10.59,44.0,14352.07,49033.7769,1.44,1.8000792071611835
002714.SZ,2014-01-29,38.13,38.13,34.41,34.53,34.66,-0.13,-0.38,167086.34,613677.565,1.4345279999999998,1.7932389061739709
002714.SZ,2014-01-30,33.65,33.8,31.08,31.08,34.53,-3.45,-9.99,144359.39,461914.4765,1.2912186527999998,1.6140943394471912
002714.SZ,2014-02-07,30.4,31.0,29.9,30.62,31.08,-0.46,-1.48,79994.4,243463.1726,1.2721086167385598,1.5902057432233727
002714.SZ,2014-02-10,30.86,32.8,30.82,32.69,30.62,2.07,6.76,119384.19,380857.7909,1.3581031592300865,1.6977036514652728
002714.SZ,2014-02-11,32.7,35.96,32.63,35.96,32.69,3.27,10.0,122426.93,419102.5816,1.4939134751530954,1.8674740166118002
002714.SZ,2014-02-12,37.12,38.95,36.15,37.71,35.96,1.75,4.87,123965.32,463801.9925,1.5666670613930511,1.9584200012207948
002714.SZ,2014-02-13,36.81,37.55,36.21,36.35,37.71,-1.36,-3.61,70488.31,260624.9445,1.510110380476762,1.8877210391767243
002714.SZ,2014-02-14,36.87,38.44,36.7,38.27,36.35,1.92,5.28,79267.08,299793.9499,1.589844208565935,1.9873927100452553
002714.SZ,2014-02-17,38.52,40.49,37.59,38.98,38.27,0.71,1.86,104754.85,408587.1,1.6194153108452614,2.024358214452097
002714.SZ,2014-02-18,39.03,41.39,37.96,40.4,38.98,1.42,3.64,130489.52,517965.2995,1.6783620281600289,2.0980448534581533
002714.SZ,2014-02-19,39.7,39.85,36.7,37.99,40.4,-2.41,-5.97,71848.48,274588.2276,1.5781638150788753,1.9727915757067016
002714.SZ,2014-02-20,38.0,39.2,36.77,37.89,37.99,-0.1,-0.26,50532.35,192237.979,1.5740605891596702,1.9676623176098642
002714.SZ,2014-02-21,37.3,38.38,36.87,38.18,37.89,0.29,0.77,47469.9,178405.3002,1.5861808556961996,1.98281331745546
002714.SZ,2014-02-24,38.3,38.3,36.1,36.3,38.18,-1.88,-4.92,66176.4,243489.8419,1.5081407575959465,1.8852589022366513
002714.SZ,2014-02-25,36.4,37.4,33.51,33.65,36.3,-2.65,-7.3,67153.35,240897.2011,1.3980464822914425,1.747635002373376
002714.SZ,2014-02-26,33.59,33.79,31.9,33.0,33.65,-0.65,-1.93,46972.45,154705.4979,1.3710641851832177,1.71390564682757
002714.SZ,2014-02-27,33.5,34.8,32.7,33.0,33.0,0.0,0.0,42619.76,143486.1515,1.3710641851832177,1.71390564682757
002714.SZ,2014-02-28,32.6,35.56,32.3,34.85,33.0,1.85,5.61,48251.73,164475.441,1.4479808859719963,1.8100557536145967
002714.SZ,2014-03-03,34.75,37.39,34.62,37.0,34.85,2.15,6.17,70555.7,256543.6232,1.5373213066364686,1.9217361936126174
002714.SZ,2014-03-04,36.5,38.27,35.08,36.18,37.0,-0.82,-2.22,74068.28,271015.6248,1.503192773629139,1.8790736501144174
002714.SZ,2014-03-05,36.01,37.0,35.28,36.18,36.18,0.0,0.0,47530.71,172029.8894,1.503192773629139,1.8790736501144174
002714.SZ,2014-03-06,36.16,37.42,34.0,36.81,36.18,0.63,1.74,50566.04,183353.3074,1.5293483278902862,1.9117695316264085
002714.SZ,2014-03-07,36.33,36.82,34.28,34.29,36.81,-2.52,-6.85,38134.98,135050.5043,1.4245879674298016,1.7808133187099995
002714.SZ,2014-03-10,33.69,35.39,33.03,34.11,34.29,-0.18,-0.52,40231.97,136736.7187,1.4171801099991668,1.7715530894527076
002714.SZ,2014-03-11,34.0,34.91,33.55,34.14,34.11,0.03,0.09,19811.99,67921.2143,1.418455572098166,1.773147487233215
002714.SZ,2014-03-12,34.13,34.35,33.08,34.0,34.14,-0.14,-0.41,21494.05,72295.1843,1.4126399042525635,1.7658775825355588
002714.SZ,2014-03-13,33.98,36.7,33.9,35.99,34.0,1.99,5.85,52604.36,188148.4379,1.4952793386513383,1.8691814211138889
002714.SZ,2014-03-14,35.5,36.1,34.51,34.78,35.99,-1.21,-3.36,21420.4,75351.9296,1.4450379528726534,1.8063769253644621
002714.SZ,2014-03-17,34.78,34.79,33.6,34.52,34.78,-0.26,-0.75,23541.47,80390.8975,1.4342001682261085,1.7928290984242288
002714.SZ,2014-03-18,34.4,35.54,34.18,35.25,34.52,0.73,2.11,23944.27,83992.1756,1.4644617917756793,1.83065779240098
002714.SZ,2014-03-19,34.99,36.31,34.8,36.0,35.25,0.75,2.13,43905.8,157775.7211,1.4956548279405013,1.8696508033791208
002714.SZ,2014-03-20,35.72,35.97,34.94,34.94,36.0,-1.06,-2.94,23330.29,82939.1855,1.4516825759990506,1.8146830697597747
002714.SZ,2014-03-21,34.49,35.28,33.61,35.04,34.94,0.1,0.29,20152.25,69204.0079,1.4558924554694477,1.819945650662078
002714.SZ,2014-03-24,34.81,36.17,34.2,35.0,35.04,-0.04,-0.11,20885.37,73320.241,1.4542909737684313,1.8179437104463496
002714.SZ,2014-03-25,34.6,35.93,34.23,35.88,35.0,0.88,2.51,17856.56,62736.6429,1.4907936772100188,1.8635740975785526
002714.SZ,2014-03-26,35.84,36.49,35.52,35.86,35.88,-0.02,-0.06,15833.35,57057.9985,1.4898992010036927,1.8624559531200056
