ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close
600036.SH,2014-01-02,10.84,10.86,10.67,10.73,10.89,-0.16,-1.47,532564.9,571763.446,3.897,41.81481
600036.SH,2014-01-03,10.65,10.68,10.4,10.51,10.73,-0.22,-2.05,585298.09,615117.102,3.897,40.957469999999994
600036.SH,2014-01-06,10.5,10.52,10.32,10.46,10.51,-0.05,-0.48,653970.3,680128.042,3.897,40.76262
600036.SH,2014-01-07,10.33,10.54,10.28,10.52,10.46,0.06,0.57,542563.86,566113.066,3.897,40.99643999999999
600036.SH,2014-01-08,10.52,10.69,10.46,10.63,10.52,0.11,1.05,492937.48,522881.092,3.897,41.425110000000004
600036.SH,2014-01-09,10.61,10.76,10.61,10.7,10.63,0.07,0.66,482233.79,515210.314,3.897,41.6979
600036.SH,2014-01-10,10.69,10.82,10.61,10.8,10.7,0.1,0.93,629140.98,676364.232,3.897,42.0876
600036.SH,2014-01-13,10.82,10.98,10.73,10.88,10.8,0.08,0.74,779716.0,848646.197,3.897,42.39936
600036.SH,2014-01-14,10.85,10.92,10.65,10.75,10.88,-0.13,-1.19,448678.87,482287.733,3.897,41.89275
600036.SH,2014-01-15,10.72,10.75,10.53,10.59,10.75,-0.16,-1.49,355733.95,377633.071,3.897,41.26923
600036.SH,2014-01-16,10.59,10.63,10.52,10.55,10.59,-0.04,-0.38,275924.38,291872.536,3.897,41.113350000000004
600036.SH,2014-01-17,10.53,10.58,10.41,10.57,10.55,0.02,0.19,518745.34,543888.514,3.897,41.19129
600036.SH,2014-01-20,10.51,10.6,10.42,10.47,10.57,-0.1,-0.95,275378.62,289251.387,3.897,40.80159
600036.SH,2014-01-21,10.54,10.68,10.48,10.53,10.47,0.06,0.57,251592.17,266298.797,3.897,41.03541
600036.SH,2014-01-22,10.56,10.78,10.48,10.7,10.53,0.17,1.61,501236.56,533545.788,3.897,41.6979
600036.SH,2014-01-23,10.67,10.71,10.49,10.52,10.7,-0.18,-1.68,386341.12,408076.169,3.897,40.99643999999999
600036.SH,2014-01-24,10.48,10.56,10.39,10.43,10.52,-0.09,-0.86,522641.95,546511.659,3.897,40.645709999999994
600036.SH,2014-01-27,10.4,10.43,10.28,10.33,10.43,-0.1,-0.96,470787.02,486900.304,3.897,40.256009999999996
600036.SH,2014-01-28,10.35,10.47,10.34,10.44,10.33,0.11,1.06,397578.24,414104.442,3.897,40.68467999999999
600036.SH,2014-01-29,10.48,10.56,10.44,10.51,10.44,0.07,0.67,285381.61,299746.182,3.897,40.957469999999994
600036.SH,2014-01-30,10.49,10.49,10.32,10.36,10.51,-0.15,-1.43,265392.7,275494.769,3.897,40.37291999999999
600036.SH,2014-02-07,10.3,10.37,10.24,10.33,10.36,-0.03,-0.29,320835.38,329823.157,3.897,40.256009999999996
600036.SH,2014-02-10,10.37,10.44,10.35,10.43,10.33,0.1,0.97,542959.43,564957.015,3.897,40.645709999999994
600036.SH,2014-02-11,10.4,10.74,10.33,10.57,10.43,0.14,1.34,1084733.85,1144880.502,3.897,41.19129
600036.SH,2014-02-12,10.57,10.65,10.48,10.51,10.57,-0.06,-0.57,538027.91,566714.782,3.897,40.957469999999994
600036.SH,2014-02-13,10.47,10.75,10.43,10.53,10.51,0.02,0.19,971381.32,1027621.726,3.897,41.03541
600036.SH,2014-02-14,10.53,10.58,10.45,10.52,10.53,-0.01,-0.1,422660.01,443898.443,3.897,40.99643999999999
600036.SH,2014-02-17,10.6,10.64,10.47,10.51,10.52,-0.01,-0.1,619647.7,652124.682,3.897,40.957469999999994
600036.SH,2014-02-18,10.51,10.51,10.3,10.32,10.51,-0.19,-1.81,719371.58,746349.571,3.897,40.21704
600036.SH,2014-02-19,10.32,10.59,10.28,10.51,10.32,0.19,1.84,1095953.04,1143138.292,3.897,40.957469999999994
600036.SH,2014-02-20,10.51,10.61,10.34,10.35,10.51,-0.16,-1.52,666546.32,697343.021,3.897,40.333949999999994
600036.SH,2014-02-21,10.35,10.45,10.26,10.32,10.35,-0.03,-0.29,514326.37,531421.703,3.897,40.21704
600036.SH,2014-02-24,10.27,10.27,10.05,10.08,10.32,-0.24,-2.33,844298.35,854470.067,3.897,39.28176
600036.SH,2014-02-25,10.1,10.14,9.88,9.94,10.08,-0.14,-1.39,843107.29,845056.331,3.897,38.73618
600036.SH,2014-02-26,9.9,10.08,9.89,10.02,9.94,0.08,0.8,423550.51,422574.594,3.897,39.04794
600036.SH,2014-02-27,10.04,10.06,9.88,10.02,10.02,0.0,0.0,641572.74,640432.18,3.897,39.04794
600036.SH,2014-02-28,10.0,10.06,9.83,9.93,10.02,-0.09,-0.9,627759.82,623305.293,3.897,38.69721
600036.SH,2014-03-03,9.86,9.89,9.77,9.82,9.93,-0.11,-1.11,783099.42,768373.33,3.897,38.26854
600036.SH,2014-03-04,9.8,9.8,9.66,9.75,9.82,-0.07,-0.71,748678.61,727027.914,3.897,37.99575
600036.SH,2014-03-05,9.77,9.77,9.62,9.63,9.75,-0.12,-1.23,579111.38,560459.182,3.897,37.52811
600036.SH,2014-03-06,9.62,9.78,9.6,9.73,9.63,0.1,1.04,549303.68,532547.454,3.897,37.91781
600036.SH,2014-03-07,9.73,9.84,9.65,9.68,9.73,-0.05,-0.51,548203.26,533628.721,3.897,37.72295999999999
600036.SH,2014-03-10,9.61,9.63,9.45,9.47,9.68,-0.21,-2.17,709131.13,675011.729,3.897,36.90459
600036.SH,2014-03-11,9.47,9.53,9.41,9.49,9.47,0.02,0.21,413460.48,391277.496,3.897,36.98253
600036.SH,2014-03-12,9.46,9.67,9.42,9.61,9.49,0.12,1.26,586955.29,560385.911,3.897,37.45016999999999
600036.SH,2014-03-13,9.64,9.86,9.58,9.67,9.61,0.06,0.62,700617.95,680872.316,3.897,37.683989999999994
600036.SH,2014-03-14,9.64,9.64,9.5,9.56,9.67,-0.11,-1.14,577446.24,551561.36,3.897,37.25532
600036.SH,2014-03-17,9.63,9.66,9.52,9.59,9.56,0.03,0.31,352786.57,338292.944,3.897,37.372229999999995
600036.SH,2014-03-18,9.58,9.68,9.56,9.59,9.59,0.0,0.0,448027.41,430280.107,3.897,37.372229999999995
600036.SH,2014-03-19,9.56,9.56,9.49,9.55,9.59,-0.04,-0.42,305359.82,290635.376,3.897,37.21635
600036.SH,2014-03-20,9.55,9.63,9.45,9.46,9.55,-0.09,-0.94,363313.08,346938.421,3.897,36.86562
600036.SH,2014-03-21,9.46,9.9,9.44,9.84,9.46,0.38,4.02,1143719.52,1111471.738,3.897,38.34648
600036.SH,2014-03-24,9.85,9.88,9.74,9.84,9.84,0.0,0.0,798450.91,784583.251,3.897,38.34648
600036.SH,2014-03-25,9.84,9.9,9.76,9.79,9.84,-0.05,-0.51,419015.49,410810.478,3.897,38.15163
600036.SH,2014-03-26,9.82,9.85,9.77,9.8,9.79,0.01,0.1,336327.21,329655.919,3.897,38.1906
600036.SH,2014-03-27,9.8,9.93,9.67,9.79,9.8,-0.01,-0.1,728401.67,714877.697,3.897,38.15163
600036.SH,2014-03-28,9.79,9.92,9.77,9.86,9.79,0.07,0.72,675623.92,665062.164,3.897,38.42442
600036.SH,2014-03-31,9.85,9.9,9.72,9.82,9.86,-0.04,-0.41,539220.86,529273.316,3.897,38.26854
600036.SH,2014-04-01,9.81,9.93,9.78,9.88,9.82,0.06,0.61,405535.3,400451.164,3.897,38.50236
600036.SH,2014-04-02,9.88,10.01,9.86,9.97,9.88,0.09,0.91,469731.44,466611.152,3.897,38.85309
600036.SH,2014-04-03,10.0,10.05,9.85,9.88,9.97,-0.09,-0.9,376115.36,374082.28,3.897,38.50236
